Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pudukkottai,Alangudi,Groundnut,VRI - 1,FAQ,3800,4000,3900,07-Feb-14
2,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5500,6000,5900,20-Sep-23
3,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5800,6000,5900,25-Sep-22
4,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5800,6000,5900,23-Sep-22
5,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,6000,5550,25-Aug-22
6,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5400,5600,5500,17-Feb-22
7,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5900,6000,5950,25-Aug-21
8,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5200,5500,5300,09-Oct-20
9,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5300,13-Sep-20
10,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4800,5100,5000,05-May-20
11,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4800,5200,5000,24-Mar-20
12,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4500,4900,4700,18-Feb-20
13,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4800,5000,4900,29-Jan-20
14,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,26-Nov-19
15,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,6000,5500,27-Sep-19
16,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,08-Nov-18
17,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,4500,4200,26-Oct-18
18,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,06-Sep-18
19,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,02-Sep-18
20,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,01-Sep-18
21,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,31-Aug-18
22,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,30-Aug-18
23,Coimbatore,Anaimalai,Groundnut,Balli/Habbu,FAQ,5000,5500,5200,26-Aug-18
24,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,19-Aug-18
25,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5000,5500,5200,17-Aug-18
26,Coimbatore,Anaimalai,Groundnut,Other,FAQ,3400,4400,3900,23-Mar-18
27,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,5000,4500,22-Nov-17
28,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4500,5500,5000,18-Nov-17
29,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,4500,4250,07-Nov-17
30,Coimbatore,Anaimalai,Groundnut,Other,FAQ,6000,8000,7000,02-Nov-17
31,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,4500,4200,28-Oct-17
32,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4500,5500,5000,27-Sep-17
33,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,5000,4500,21-Sep-17
34,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,5100,4500,03-Sep-17
35,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,5100,4550,01-Sep-17
36,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,5000,4500,24-Aug-17
37,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,5000,4500,20-Aug-17
38,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4000,5000,4500,16-Aug-17
39,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5400,7000,6600,01-Oct-14
40,Coimbatore,Anaimalai,Groundnut,Other,FAQ,3200,4200,3700,12-Sep-14
41,Coimbatore,Anaimalai,Groundnut,Other,FAQ,3400,3600,3500,18-Oct-13
42,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4900,5400,5200,21-Sep-13
43,Coimbatore,Anaimalai,Groundnut,Other,FAQ,3600,3800,3700,24-Dec-12
44,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5400,5600,5500,26-Sep-12
45,Coimbatore,Anaimalai,Groundnut,Other,FAQ,5800,6500,6300,06-Sep-12
46,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4500,4700,4600,16-Mar-12
47,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4500,4700,4600,15-Mar-12
48,Coimbatore,Anaimalai,Groundnut,Other,FAQ,1800,2000,1900,13-Dec-11
49,Coimbatore,Anaimalai,Groundnut,Other,FAQ,2200,2600,2400,13-Sep-11
50,Coimbatore,Anaimalai,Groundnut,Other,FAQ,4700,4800,4750,06-Sep-11
51,Villupuram,Ananthapuram,Groundnut,Other,FAQ,3400,4839,4084,31-Dec-14
52,Villupuram,Ananthapuram,Groundnut,Other,FAQ,3565,4900,4233,26-Dec-14
53,Villupuram,Ananthapuram,Groundnut,Other,FAQ,3400,4839,4084,24-Dec-14
54,Villupuram,Ananthapuram,Groundnut,Other,FAQ,5349,6515,5932,03-Apr-13
55,Villupuram,Ananthapuram,Groundnut,Other,FAQ,5311,6011,5771,18-Mar-13
56,Ariyalur,Andimadom,Groundnut,Other,FAQ,8514,8514,8514,23-Feb-24
57,Ariyalur,Andimadom,Groundnut,Other,FAQ,5500,8250,8250,22-Feb-24
58,Ariyalur,Andimadom,Groundnut,Other,FAQ,6264,8335,8335,20-Feb-24
59,Ariyalur,Andimadom,Groundnut,Other,FAQ,9279,9279,9279,17-Feb-24
60,Ariyalur,Andimadom,Groundnut,Other,FAQ,9264,10031,9326,16-Feb-24
61,Ariyalur,Andimadom,Groundnut,Other,FAQ,9145,9764,9551,15-Feb-24
