,Datetime,AvgPrice
0,01-01-2011,3166
1,02-01-2011,2380
2,03-01-2011,4083
3,04-01-2011,4100
4,05-01-2011,4074
5,06-01-2011,4083
6,07-01-2011,3938
7,10-01-2011,4203.5
8,11-01-2011,4039
9,12-01-2011,4087.5
10,13-01-2011,4063
11,14-01-2011,3580
12,18-01-2011,3974
13,19-01-2011,4075
14,20-01-2011,4022.5
15,21-01-2011,3909
16,24-01-2011,4037
17,25-01-2011,3966
18,26-01-2011,3500
19,27-01-2011,3982
20,28-01-2011,3938
21,31-01-2011,3717
22,01-02-2011,3974.5
23,02-02-2011,3703.5
24,03-02-2011,3894
25,04-02-2011,3947.5
26,07-02-2011,3694
27,08-02-2011,3975.5
28,09-02-2011,3938
29,10-02-2011,3881
30,11-02-2011,3970
31,14-02-2011,3697.5
32,15-02-2011,3640.5
33,16-02-2011,3226
34,17-02-2011,4039
35,18-02-2011,4031
36,21-02-2011,3987
37,22-02-2011,4028
38,23-02-2011,4067.5
39,24-02-2011,4055
40,25-02-2011,4103
41,28-02-2011,3978
42,01-03-2011,4075
43,02-03-2011,4097.5
44,03-03-2011,4082.5
45,04-03-2011,4159
46,07-03-2011,4070
47,08-03-2011,4185.5
48,09-03-2011,4000
49,10-03-2011,4074
50,11-03-2011,4121
51,14-03-2011,4056
52,15-03-2011,4224
53,16-03-2011,4251
54,17-03-2011,4151
55,18-03-2011,4481.5
56,21-03-2011,4289.5
57,22-03-2011,4336
58,23-03-2011,4324
59,24-03-2011,4831
60,25-03-2011,4385
61,28-03-2011,4213
62,29-03-2011,4000
63,30-03-2011,3875
64,31-03-2011,4385.5
65,01-04-2011,4376
66,04-04-2011,3440
67,05-04-2011,3725
68,06-04-2011,4281
69,07-04-2011,4250
70,08-04-2011,4375
71,11-04-2011,4250
72,12-04-2011,4409.5
73,15-04-2011,4617.5
74,18-04-2011,4150
75,19-04-2011,4530
76,20-04-2011,4613
77,21-04-2011,4561
78,25-04-2011,4375
79,26-04-2011,4633
80,27-04-2011,4587
81,28-04-2011,4438
82,29-04-2011,4720
83,02-05-2011,4750
84,03-05-2011,4690
85,04-05-2011,4694
86,05-05-2011,4103.5
87,06-05-2011,4700
88,09-05-2011,4604.5
89,10-05-2011,4667
90,11-05-2011,4631
91,12-05-2011,4724.5
92,13-05-2011,4500
93,16-05-2011,4761
94,17-05-2011,4866
95,18-05-2011,4799.5
96,19-05-2011,4831.5
97,20-05-2011,4972.5
98,23-05-2011,4425
99,24-05-2011,4812
100,25-05-2011,5011.5
101,26-05-2011,4857.5
102,27-05-2011,4950
103,30-05-2011,4995.5
104,31-05-2011,4924.5
105,01-06-2011,4875
106,02-06-2011,5105.5
107,03-06-2011,4979
108,06-06-2011,5038
109,07-06-2011,5049
110,08-06-2011,4959
111,09-06-2011,5194
112,10-06-2011,5100
113,13-06-2011,5205.5
114,14-06-2011,5295
115,15-06-2011,5295
116,16-06-2011,5325
117,17-06-2011,5201
118,20-06-2011,4983
119,21-06-2011,4646.5
120,22-06-2011,5311
121,23-06-2011,5096
122,24-06-2011,5236
123,27-06-2011,5175.5
124,28-06-2011,5112
125,29-06-2011,5310
126,30-06-2011,5381
127,01-07-2011,4905
128,04-07-2011,4599
129,05-07-2011,4728.5
130,06-07-2011,5258.5
131,07-07-2011,5232
132,08-07-2011,5357
133,11-07-2011,5339
134,12-07-2011,5233
135,13-07-2011,4730
136,14-07-2011,5153
137,15-07-2011,4857
138,18-07-2011,4767.5
139,19-07-2011,5075
140,20-07-2011,4949.5
141,21-07-2011,4918.5
142,22-07-2011,4428
143,25-07-2011,5094
144,26-07-2011,4440
145,27-07-2011,4924
146,28-07-2011,4320
147,29-07-2011,4945
148,01-08-2011,5049
149,02-08-2011,4168
150,03-08-2011,4925
151,04-08-2011,4947.5
152,05-08-2011,4886.5
153,08-08-2011,4012
154,09-08-2011,4725
155,10-08-2011,4958
156,11-08-2011,4753
157,12-08-2011,4875
158,15-08-2011,3770
159,16-08-2011,4547.5
160,17-08-2011,4939.5
161,18-08-2011,4980
162,19-08-2011,4935.5
163,22-08-2011,4524
164,23-08-2011,4026
165,24-08-2011,4588
166,25-08-2011,4374
167,26-08-2011,4260
168,29-08-2011,3986
169,30-08-2011,4834
170,02-09-2011,4765
171,05-09-2011,4210
172,06-09-2011,4705.5
173,07-09-2011,4547.5
174,08-09-2011,4392
175,09-09-2011,4953
176,12-09-2011,4823
177,13-09-2011,4088.5
178,14-09-2011,4075
179,15-09-2011,4828
180,16-09-2011,4200
181,19-09-2011,4819
182,20-09-2011,4861
183,21-09-2011,4918
184,22-09-2011,4786.5
185,23-09-2011,4821.5
186,26-09-2011,4850
187,27-09-2011,4871
188,28-09-2011,4695
189,29-09-2011,4717
190,30-09-2011,4733
191,03-10-2011,4645.5
192,04-10-2011,4605
193,07-10-2011,4338
194,10-10-2011,4470.5
195,11-10-2011,4243
196,12-10-2011,4375
197,13-10-2011,4250
198,14-10-2011,4508
199,17-10-2011,4540
200,18-10-2011,4524
201,19-10-2011,3239
202,20-10-2011,4250
203,21-10-2011,4412.5
204,24-10-2011,4206
205,25-10-2011,3700
206,27-10-2011,3858.5
207,28-10-2011,4063
208,31-10-2011,4212
209,01-11-2011,3559
210,02-11-2011,3700
211,03-11-2011,3875
212,04-11-2011,3994
213,06-11-2011,4550
214,08-11-2011,4050.5
215,09-11-2011,3998.5
216,10-11-2011,4371
217,11-11-2011,4433
218,14-11-2011,4246.5
219,15-11-2011,4569
220,16-11-2011,3885.5
221,17-11-2011,4350.5
222,18-11-2011,4375
223,21-11-2011,4235.5
224,22-11-2011,4517
225,23-11-2011,4140
226,24-11-2011,4686
227,25-11-2011,4300
228,28-11-2011,4024.5
229,29-11-2011,3889
230,30-11-2011,3906
231,01-12-2011,3709
232,02-12-2011,4016
233,05-12-2011,3960
234,07-12-2011,4150
235,08-12-2011,4555
236,09-12-2011,4369
237,12-12-2011,4072
238,13-12-2011,4563
239,14-12-2011,4215
240,15-12-2011,4750
241,16-12-2011,4290.5
242,17-12-2011,4784
243,19-12-2011,4125
244,20-12-2011,4200
